experiment,temp_C,time_min,MR_best_model,MR_unified_midilli,Deff_1_m2s,Deff_2_m2s,Ea_1_kJmol,Ea_2_kJmol,drying_time_total_min,slice_mm,DR_per_min
T35,35,0.0,0.9827,0.9895,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.011902999999999997
T35,35,1.0,0.970797,0.976015,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.011902999999999997
T35,35,2.0,0.959011,0.963125,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.011786000000000074
T35,35,3.0,0.947341,0.950538,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.011669999999999958
T35,35,4.0,0.935786,0.938192,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.011554999999999982
T35,35,5.0,0.924345,0.926057,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.011441000000000034
T35,35,6.0,0.913017,0.914112,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.011328000000000005
T35,35,7.0,0.9018,0.902344,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.011216999999999921
T35,35,8.0,0.890694,0.890745,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.01110600000000006
T35,35,9.0,0.879697,0.879304,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.010997000000000035
T35,35,10.0,0.868809,0.868017,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.010887999999999898
T35,35,11.0,0.858028,0.856878,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.01078100000000004
T35,35,12.0,0.847353,0.845882,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.01067499999999999
T35,35,13.0,0.836783,0.835024,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.010569999999999968
T35,35,14.0,0.826317,0.824302,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.010466000000000086
T35,35,15.0,0.815955,0.813711,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.010361999999999982
T35,35,16.0,0.805694,0.803248,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.010260999999999965
T35,35,17.0,0.795535,0.792911,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.010159000000000029
T35,35,18.0,0.785475,0.782697,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.010059999999999958
T35,35,19.0,0.775515,0.772604,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00996000000000008
T35,35,20.0,0.765653,0.762628,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009861999999999926
T35,35,21.0,0.755888,0.752768,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009765000000000024
T35,35,22.0,0.746219,0.743022,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009669000000000039
T35,35,23.0,0.736646,0.733387,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009572999999999943
T35,35,24.0,0.727166,0.723861,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009480000000000044
T35,35,25.0,0.71778,0.714444,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009386000000000005
T35,35,26.0,0.708487,0.705132,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009292999999999996
T35,35,27.0,0.699285,0.695924,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009201999999999932
T35,35,28.0,0.690174,0.686819,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009111000000000091
T35,35,29.0,0.681153,0.677815,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.009020999999999946
T35,35,30.0,0.67222,0.66891,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.008932999999999969
T35,35,31.0,0.663376,0.660103,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.008844000000000074
T35,35,32.0,0.654618,0.651392,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.008757999999999933
T35,35,33.0,0.645947,0.642776,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.008670999999999984
T35,35,34.0,0.637361,0.634253,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.008586000000000094
T35,35,35.0,0.62886,0.625822,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00850099999999998
T35,35,36.0,0.620443,0.617483,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.008417000000000008
T35,35,37.0,0.612108,0.609232,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.008334999999999981
T35,35,38.0,0.603856,0.60107,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.008252000000000037
T35,35,39.0,0.595685,0.592994,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.008170999999999928
T35,35,40.0,0.587594,0.585004,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00809100000000007
T35,35,41.0,0.579583,0.577099,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00801099999999999
T35,35,42.0,0.571651,0.569277,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007931999999999939
T35,35,43.0,0.563797,0.561537,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007854000000000028
T35,35,44.0,0.556021,0.553878,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007776000000000005
T35,35,45.0,0.548321,0.546299,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00770000000000004
T35,35,46.0,0.540697,0.538799,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007623999999999964
T35,35,47.0,0.533148,0.531377,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007549000000000028
T35,35,48.0,0.525673,0.524032,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007475000000000009
T35,35,49.0,0.518273,0.516763,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007399999999999962
T35,35,50.0,0.510945,0.509568,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007328000000000001
T35,35,51.0,0.503689,0.502447,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007255999999999929
T35,35,52.0,0.496504,0.495399,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0071850000000000525
T35,35,53.0,0.489391,0.488423,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0071129999999999804
T35,35,54.0,0.482347,0.481518,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.007043999999999995
T35,35,55.0,0.475373,0.474683,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006974000000000036
T35,35,56.0,0.468468,0.467917,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0069049999999999945
T35,35,57.0,0.46163,0.461219,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006838000000000011
T35,35,58.0,0.45486,0.454589,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006769999999999998
T35,35,59.0,0.448157,0.448025,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006702999999999959
T35,35,60.0,0.44152,0.441527,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006637000000000004
T35,35,61.0,0.434948,0.435094,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006572000000000022
