ID,m/z,rt(s),Name,adduct,HMDB,KEGG,SuperClass,Class,SubClass,HT_1,HT_2,HT_3,HT_4,HT_5,LT_1,LT_2,LT_3,LT_4,LT_5,MT_1,MT_2,MT_3,MT_4,MT_5,QC_1,QC_2,QC_3,HT_mean,MT_mean,LT_mean,QC_mean,log2FC_HT_vs_LT,log2FC_MT_vs_LT,log2FC_HT_vs_MT,p_HT_vs_LT,p_MT_vs_LT,p_HT_vs_MT
M377T207,377.1438,206.6135,(-)-riboflavin,[M+H]+,HMDB0000244,C00255,Organoheterocyclic compounds,Pteridines and derivatives,Alloxazines and isoalloxazines,129266.643582268,153335.529575882,60316.4584034802,91471.8208786831,111230.445310341,32734.6488691269,43434.3795781904,55058.9043755506,49489.2110840497,46995.9040128523,64360.4986262954,67674.322315073,70498.3309759585,64948.4378640123,64621.5968245775,74914.907277723,74915.4865644532,74167.7169309601,109124.17955013085,66420.63732118334,45542.60958395397,74666.03692437876,1.2606634848968954,0.5444046487171774,0.7162588361797179,0.004590854034091359,0.0006858749907010202,0.0280231079023227
M113T220_1,113.05857,220.118,(+-)-Mevalonolactone,(M+H-H2O)+,,,,,,29087.6944365305,37682.8266493557,40643.7794764488,28373.4475495145,42398.2713483362,11152.8507167173,10508.1515626993,13257.0886928498,10816.2934883793,10259.1889462639,17725.1466152103,15647.9588830423,19319.2742021925,17286.9627745755,18174.8531571702,24756.7362485933,24712.8039434002,24756.581898667,35637.20389203714,17630.839126438157,11198.71468138192,24742.040696886834,1.669962649853589,0.6547209865414867,1.0152416633121026,3.5598704017398774e-05,4.393312527186252e-05,0.0003097740725626179
M519T255,519.15505,255.293,"(1s,4as,7s,7as)-7-hydroxy-7-methyl-1-[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-[(4-hydroxybenzoyl)oxymethyl]oxan-2-yl]oxy-4a,5,6,7a-tetrahydro-1h-cyclopenta[c]pyran-4-carboxylic acid",[M+Na]+,,,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,6492.64773726047,7470.0595883864,26604.046822438,17193.5583047245,12329.4830955065,5944.59244618141,3067.73719215459,2329.67759165845,1396.29948593308,1566.98683118041,4380.2618905994,4321.60589658788,3259.13888768625,3186.21283618793,3475.93999520209,5893.26690440578,5893.20209188149,6034.63060586796,14017.959109663174,3724.63190125271,2861.0587094215875,5940.366534051743,2.2922540635167197,0.3804318742279412,1.9118221892887781,0.01819864116604109,0.3480065573731994,0.02355397635979625
M641T454,641.17552,453.593,"(3z)-5-[(2,6-dichlorobenzyl)sulfonyl]-3-[(3,5-dimethyl-4-{[(2r)-2-(1-pyrrolidinylmethyl)-1-pyrrolidinyl]carbonyl}-1h-pyrrol-2-yl)methylene]-1,3-dihydro-2h-indol-2-one",[M+H]+,,,Organoheterocyclic compounds,Indoles and derivatives,Indolines,4972.71377048741,5661.04290354114,5485.31878904754,4850.28135241964,4634.72639858769,1778.0217123046,1734.50498328843,1695.35304457533,1625.66259366603,1457.73782573601,1951.58195622124,1826.71030227866,2094.72184468766,1769.64660193641,2847.64066200608,3257.47000133446,3303.79027754203,3085.32222434031,5120.816642816684,2098.06027342601,1658.25603191408,3215.5275010722667,1.6261190875750382,0.3392070745764756,1.2869120129985627,1.382697387241665e-07,0.0625934690030571,4.2607210787937835e-06
M254T57,254.1737,57.379,"(r)-.alpha.,.alpha.-diphenyl-2-pyrrolidinemethanol",[M+H]+,,,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,185889.930475054,264596.730861757,175441.703633945,179755.14444341,187540.115286018,88862.0204576897,71780.7769827973,81568.1352291637,79149.6047734431,64061.0058541589,52420.6095399282,57865.3065605825,50074.5410698499,48077.629916307,43443.3303116268,102309.358757704,102307.178369918,105682.111584896,198644.7249400368,50376.28347965888,77084.30865945054,103432.88290417266,1.3656699107573325,-0.6136826006336493,1.9793525113909818,0.00010377075441681051,0.0005852951121588234,2.1391953822134484e-05
M311T366,311.1224,365.626,.alpha.-L-Glu-L-Tyr,[M+H]+,HMDB0028831,,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",28630.4744702711,32504.8660331879,29521.1664582555,30090.4791937756,33891.684241536,11984.1814337428,11636.0317792507,13616.4077966915,11066.0661070958,12870.1588351433,16881.5230612332,17460.0921337528,21449.0452700533,16502.1284683629,19876.5722112003,20807.0547029837,21143.2686916336,20807.8561388799,30927.73407940522,18433.8722289205,12234.56919038482,20919.3931778324,1.3378665686035764,0.5913562010531238,0.7465103675504523,1.2647486432593665e-07,0.0003772892210880012,1.673876023659807e-05
M202T257,202.15319,256.666,.alpha.-propylaminopentiophenone,[M+H-H2O]+,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,1046.92331539246,934.036835418698,2394.02482340876,2257.14930690429,1166.58878510305,267.146429138878,202.455035749648,76.7980253716801,167.079247992905,129.372452801204,580.209596034321,348.340687589093,291.835308126855,391.241153456097,467.144552489836,548.63988370362,494.472677845686,512.845802025319,1559.7446132454515,415.7542595392404,168.570238210863,518.6527878582084,3.202279601054726,1.2973139643885319,1.9049656366661938,0.002330537092864726,0.0032167851002920626,0.007182801764545286
M536T197,536.41382,197.2045,.alpha.-tocopherol nicotinate,[M+H]+,,C12981,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,18019.6096959799,20455.3277724474,21026.8046641937,19668.1316998273,17675.4928680938,6527.90199076568,5356.73869945905,6776.14208077826,6290.90713289157,6108.48226909527,7026.83858597949,7409.40412703914,7024.93488906072,6639.71113099805,6738.01446113201,10886.734338513,10985.3642270362,10887.4307469717,19369.07334010842,6967.780638841881,6212.034434597966,10919.843104173633,1.6404594610824605,0.1656081926937156,1.474851268388745,6.82948554779185e-08,0.02570260826410313,7.782695278059982e-08
M343T419,343.01697,419.4145,.beta.-glycerophosphate,[2M-H]-,HMDB0002520,C02979,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,48369.5758731886,58175.2494816364,48884.7439373581,43804.1256635958,46750.3155775945,28275.3354475709,23214.4245745031,22549.8841922734,16729.2037767051,22806.917645828,39564.2563744765,33064.3882629601,31625.8088365788,33786.7288171766,35938.7758208789,32260.1127441718,33647.8293526932,33643.1979841922,49196.80210667468,34795.991622414185,22715.1531273761,33183.713360352405,1.1148753231702588,0.6152440411382947,0.49963128203196444,2.2922210458889294e-05,0.0007562486705833904,0.0008426346451940283
M666T391,666.12921,390.772,".beta.-nicotinamide adenine dinucleotide, reduced(NADH)",[M+H]+,HMDB0001487,C00004,,,,33220.5188244427,35080.7529124404,33975.4488514834,30521.8579579648,33048.9590929696,72973.9962470319,63478.3979630561,66164.0054105084,65413.8737119233,65162.9714855788,67097.1315591655,75211.0034957327,67575.5972004035,73257.2506740561,72348.3636279374,53076.441732755,53938.4571905222,53080.7458056986,33169.50752786018,71097.86931145904,66638.6489636197,53365.2149096586,-1.006479714707482,0.09344581571558006,-1.099925530423062,7.464798317110355e-08,0.0882403710282749,2.4016334223313806e-08
