temp_C,Deff_1,Deff_2,drying_time_min,Ea_1,Ea_2,temperature_key,compound,category,trend,abundance,is_rf_indicator,abs_delta_max,total_metabolites_sum,n_significant_mets,met_top1_name,met_top2_name,met_top3_name,met_top4_name,met_top5_name,met_top6_name,met_top7_name,met_top8_name,met_top9_name,met_top10_name
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,acetic acid,acids,down,4.1,False,1.3,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,ethyl acetate,esters,down,3.8,False,0.8,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,butanal-D,aldehydes,down,2.9,True,0.8,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,1-hexanol,alcohols,down,3.75,True,0.75,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,ethyl 3-methylbutanoate,esters,down,3.5,True,0.75,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,3-methylbutan-1-ol-M,alcohols,down,3.25,True,0.65,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,3-carene,hydrocarbons,up,3.2,False,0.6,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,3-methylbutanal,aldehydes,down,3.4,False,0.6,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,2-methyl-1-propanol,alcohols,down,2.9,True,0.6,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,3-hydroxy-2-butanone-M,ketones,down,3.8,False,0.55,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,2-methyl-2-butenal,aldehydes,down,3.55,False,0.5,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,2-butanone,ketones,down,3.7,False,0.5,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,alpha-terpinene,hydrocarbons,up,3.0,False,0.5,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,"2,5-dimethylpyrazine",pyrazines,up,3.25,False,0.5,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,hexanal-D,aldehydes,up,3.6,True,0.45,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,hexanal-M,aldehydes,up,2.6,True,0.4,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,2-heptanol,alcohols,up,2.1,False,0.4,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,butanal-M,aldehydes,up,3.6,False,0.4,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,propanol,alcohols,up,2.0,False,0.4,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,valeraldehyde-D,aldehydes,up,3.3,True,0.35,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,2-heptanone,ketones,ns,3.0,False,0.1,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,octanal,aldehydes,ns,2.8,False,0.1,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
45,8.72e-09,1.801e-08,150,31.26,17.75,T45,butanol,alcohols,ns,3.2,False,0.1,1558777743.1252527,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,acetic acid,acids,down,3.6,False,1.3,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,ethyl acetate,esters,down,3.4,False,0.8,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,butanal-D,aldehydes,down,2.5,True,0.8,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,1-hexanol,alcohols,down,3.5,True,0.75,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,ethyl 3-methylbutanoate,esters,down,3.25,True,0.75,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,3-methylbutan-1-ol-M,alcohols,down,3.0,True,0.65,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,3-carene,hydrocarbons,up,3.55,False,0.6,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,3-methylbutanal,aldehydes,down,3.15,False,0.6,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,2-methyl-1-propanol,alcohols,down,2.65,True,0.6,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,3-hydroxy-2-butanone-M,ketones,down,3.5,False,0.55,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,2-methyl-2-butenal,aldehydes,down,3.3,False,0.5,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,2-butanone,ketones,down,3.4,False,0.5,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,alpha-terpinene,hydrocarbons,up,3.25,False,0.5,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,"2,5-dimethylpyrazine",pyrazines,up,3.5,False,0.5,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,hexanal-D,aldehydes,up,3.85,True,0.45,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,hexanal-M,aldehydes,up,2.8,True,0.4,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,2-heptanol,alcohols,up,2.3,False,0.4,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,butanal-M,aldehydes,up,3.8,False,0.4,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,propanol,alcohols,up,2.2,False,0.4,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,valeraldehyde-D,aldehydes,up,3.5,True,0.35,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,2-heptanone,ketones,ns,3.05,False,0.1,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,octanal,aldehydes,ns,2.85,False,0.1,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,butanol,alcohols,ns,3.15,False,0.1,1574943301.3102279,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,acetic acid,acids,down,3.6,False,1.3,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,ethyl acetate,esters,down,3.4,False,0.8,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,butanal-D,aldehydes,down,2.5,True,0.8,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,1-hexanol,alcohols,down,3.5,True,0.75,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,ethyl 3-methylbutanoate,esters,down,3.25,True,0.75,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,3-methylbutan-1-ol-M,alcohols,down,3.0,True,0.65,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,3-carene,hydrocarbons,up,3.55,False,0.6,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,3-methylbutanal,aldehydes,down,3.15,False,0.6,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,2-methyl-1-propanol,alcohols,down,2.65,True,0.6,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,3-hydroxy-2-butanone-M,ketones,down,3.5,False,0.55,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,2-methyl-2-butenal,aldehydes,down,3.3,False,0.5,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,2-butanone,ketones,down,3.4,False,0.5,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,alpha-terpinene,hydrocarbons,up,3.25,False,0.5,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,"2,5-dimethylpyrazine",pyrazines,up,3.5,False,0.5,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,hexanal-D,aldehydes,up,3.85,True,0.45,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,hexanal-M,aldehydes,up,2.8,True,0.4,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,2-heptanol,alcohols,up,2.3,False,0.4,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,butanal-M,aldehydes,up,3.8,False,0.4,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,propanol,alcohols,up,2.2,False,0.4,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
55,1.298e-08,2.463e-08,120,31.26,17.75,T55,valeraldehyde-D,aldehydes,up,3.5,True,0.35,1590657750.1247997,272,(+-)-Mevalonolactone,7.alpha.-hydroxy-4-cholesten-3-one,"9,12-octadecadiynoic acid",Acetyleugenol,ADP-ribose,Trans-aconitic acid,Trans-cinnamic acid,.beta.-glycerophosphate,Tyr-Met,Udp-xylose
