0,1,2,3,4,5,6,7,8,9
Table 4,,,,,,,,,
Effects of different drying methods on volatile compounds of M. sextelata.,,,,,,,,,
,Compounds,Cas,,,,Content (μg/kg DW),,,Odor description
,,,FS,,HAD,HAD-MVD,VFD,ND,
,Alcohols,,–,,,,,,
,,003391–86-,,,"168,497 ±","2,146,449 ±","1,030,149 ±","214,333 ±",
1,1-Octen-3-ol,,,,,,,,"Mushroom flavor, Earthy flavor"
,,4,,,2348d,30584a,10297b,3582c,
,,000100–51-,,,,,,,
2,Benzyl alcohol,6,–,,–,–,994 ± 47,–,Flower fragrance
,,000104–76-,2038 ±,,,,,,"Citrus flavor, Flower fragrance,"
3,2-ethyl-1-Hexanol,,,,1570 ± 47d,"18,139 ± 77a",8794 ± 59b,1731 ± 43d,
,,7,56c,,,,,,Sugary flavor
,,000111–87-,,,,,,,"Mushroom flavor, Glutinous"
4,1-Octanol,,–,,270 ± 16,–,–,–,
,,5,,,,,,,incense
,,000626–89-,,,,,,,
5,4-Methyl-1-pentanol,,–,,–,–,3090 ± 37,–,Nut fragrance
,,1,,,,,,,
,,000107–21-,,,,,,,
6,"1,2-Ethanediol",,–,,"14,922 ± 79b",–,"25,140 ± 103a",9857 ± 70c,NF
,,1,,,,,,,
,,018409–18-,,,,,,,"Fresh air, Citrus flavor, Flower"
7,(E)-2-Decen-1-ol,,–,,9822 ± 68b,–,"59,430 ± 187a",3627 ± 38c,
,,2,,,,,,,fragrance
,,022104–80-,,,,,,,"Fresh air, Glutinous incense,"
8,2-Decen-1-ol,,–,,–,–,2866 ± 54,–,
,,9,,,,,,,Flower fragrance
,Aldehydes,,,,,,,,
,,000100–52-,349 ±,,,,,,
9,Benzaldehyde,,,,1001 ± 28d,9746 ± 59b,"15,181 ± 116a",2199 ± 44c,"Bitter almond flavor, Sugary flavor"
,,7,27e,,,,,,
,,004748–78-,,,,,,,"Bitter almond flavor, sugary flavor,"
10,4-Ethylbenzaldehyde,,–,,–,–,791 ± 53,–,
,,1,,,,,,,Fennel flavor
,,002548–87-,,,"10,123 ±","151,781 ±","108,237 ±",,
11,(E)-2-Octenal,,–,,,,,9661 ± 96c,"Cucumber flavor, Umami,"
,,0,,,109c,1307a,3965b,,
,,013019–16-,,,,,,,
12,2-butyloct-2-enal,,–,,–,–,214 ± 19,–,Fruity
,,4,,,,,,,
,5-Methyl-2-phenyl-2-,,,,,,,,
13,,"21,834–92-4",368 ± 23,,–,–,–,–,"Cocoa flavor, Bitter flavor"
,hexenal,,,,,,,,
,,000122–78-,,,,,,,
14,Benzeneacetaldehyde,,–,,1008 ± 26b,9801 ± 88a,–,–,"Cocoa flavor, Flower fragrance"
,,1,,,,,,,
,Compounds,Cas,,,,Content (μg/kg DW),,,Odor description
,,,,FS,HAD,HAD-MVD,VFD,ND,
