0,1,2,3,4,5,6,7,8
Y. Liao et al.,,,,,,,,Food Chemistry: X 25 (2025) 102220
Table 4 (continued ),,,,,,,,
,Compounds,Cas,,,Content (μg/kg DW),,,Odor description
,,,FS,HAD,HAD-MVD,VFD,ND,
,,001138–52-,,,,,,
28,"2,5-Di-tert-butylphenol",,82 ± 10c,–,1639 ± 78a,125 ± 12c,279 ± 38b,NF
,,9,,,,,,
,,000095–77-,,,,,,
29,"3,4-Dichlorophenol",,–,–,–,1329 ± 101,–,Flower fragrance
,,2,,,,,,
,,,"20,726 ±","217,067 ±","2,533,403 ±","1,476,435 ±","786,886 ±",
,Total,,,,,,,
,,,210e,228b,20468a,14287c,629d,
"Note: “-”: not detected. Odorant descriptions were obtained from literature searches. FS, fresh; HAD, hot air dried; HAD-MVD, hot-air combined with microwave",,,,,,,,
